|    Run | Delivered LS | Delivered(/μb) |          Selected LS | Recorded(/μb) |
-----------------------------------------------------------------------------------
| 132440 |          401 |           4.500 |            [157-377] |          3.457 |
| 132596 |          453 |           3.906 |            [382-382] |          0.012 |
| 132598 |          188 |           3.449 |            [174-175] |          0.012 |
| 132599 |          538 |          17.095 |    [1-379] [381-437] |         13.520 |
| 132601 |         1131 |          30.355 |    [1-207] [209-259] |         29.607 |
|        |              |                 |           [261-1107] |                |
| 132602 |           83 |           1.955 |               [1-70] |          1.627 |
| 132605 |          969 |          21.775 |    [1-444] [446-522] |         20.322 |
|        |              |                 |  [526-622] [624-814] |                |
|        |              |                 |  [816-829] [831-867] |                |
|        |              |                 |            [896-942] |                |
| 132606 |           37 |           0.320 |               [1-25] |          0.319 |
| 132656 |          140 |           4.338 |              [1-110] |          3.348 |
| 132658 |          177 |           5.784 |      [1-51] [56-120] |          4.458 |
|        |              |                 |            [127-148] |                |
| 132659 |           84 |           2.603 |               [1-75] |          2.324 |
| 132661 |          130 |           3.480 |              [1-115] |          3.086 |
| 132662 |          221 |           1.961 |        [1-9] [25-74] |          1.484 |
| 132716 |          671 |          11.421 |  [220-436] [440-487] |          8.928 |
|        |              |                 |            [491-586] |                |
| 132959 |          417 |          13.739 |            [326-334] |          0.268 |
| 132960 |          190 |           6.660 |              [1-124] |          4.336 |
| 133029 |          350 |          10.662 |  [101-115] [129-331] |          7.481 |
| 133031 |          317 |           0.466 |               [1-18] |          0.465 |
| 133035 |          306 |           8.146 |      [1-63] [67-301] |          7.906 |
| 133036 |          225 |           4.599 |                   [] |            N/A |
| 133046 |          426 |           5.341 |      [1-43] [45-210] |          4.579 |
|        |              |                 |  [213-227] [229-323] |                |
| 133082 |         1149 |          35.987 |    [1-336] [523-592] |         15.232 |
|        |              |                 |            [595-608] |                |
| 133158 |          804 |          21.387 |             [65-786] |         19.513 |
| 133874 |          874 |         207.072 |  [166-297] [299-721] |        201.907 |
|        |              |                 |  [724-814] [817-864] |                |
| 133875 |           48 |          10.956 |       [1-20] [22-37] |          8.110 |
| 133876 |          329 |          63.609 |              [1-315] |         61.273 |
| 133877 |         1997 |         306.905 |      [1-77] [82-104] |        292.729 |
|        |              |                 |  [113-231] [236-294] |                |
|        |              |                 |  [297-437] [439-622] |                |
|        |              |                 | [624-853] [857-1472] |                |
|        |              |                 |          [1474-1640] |                |
|        |              |                 |          [1643-1930] |                |
| 133881 |          561 |          63.282 |      [1-71] [74-223] |         61.407 |
|        |              |                 |            [225-551] |                |
| 133885 |          793 |          72.689 |    [1-132] [134-710] |         69.356 |
| 133927 |           57 |           6.924 |               [1-44] |          4.756 |
| 133928 |          665 |          93.792 |              [1-645] |         91.079 |
| 135059 |          398 |           0.842 |      [64-67] [59-63] |          0.063 |
| 135149 |         3422 |        1294.065 |  [297-337] [339-754] |       1222.470 |
|        |              |                 |  [756-932] [934-937] |                |
|        |              |                 | [942-993] [995-1031] |                |
|        |              |                 |          [1033-1098] |                |
|        |              |                 |          [1102-1808] |                |
|        |              |                 |          [1811-2269] |                |
|        |              |                 |          [2274-2524] |                |
|        |              |                 |          [2528-2713] |                |
|        |              |                 |          [2715-3098] |                |
|        |              |                 |          [3100-3102] |                |
|        |              |                 |          [3105-3179] |                |
|        |              |                 |          [3182-3303] |                |
|        |              |                 |          [3305-3380] |                |
| 135175 |         1081 |         441.285 |   [55-545] [548-561] |        427.551 |
|        |              |                 | [563-790] [792-1046] |                |
| 135521 |          524 |         629.829 |   [60-108] [110-359] |        562.893 |
|        |              |                 |  [361-440] [442-488] |                |
| 135523 |          225 |         340.000 |       [1-15] [19-20] |        298.452 |
|        |              |                 |      [24-24] [30-64] |                |
|        |              |                 |   [66-109] [113-124] |                |
|        |              |                 |            [126-211] |                |
| 135525 |          457 |         699.749 |        [1-3] [6-119] |        647.112 |
|        |              |                 |  [121-143] [145-275] |                |
|        |              |                 |  [293-381] [384-435] |                |
|        |              |                 |            [437-451] |                |
| 135528 |         1554 |        2177.284 |       [1-91] [94-95] |       1966.245 |
|        |              |                 |   [98-142] [145-147] |                |
|        |              |                 |  [149-308] [310-454] |                |
|        |              |                 |  [456-606] [608-609] |                |
|        |              |                 |  [611-770] [773-776] |                |
|        |              |                 |  [779-813] [816-912] |                |
|        |              |                 | [915-924] [926-1082] |                |
|        |              |                 |          [1084-1213] |                |
|        |              |                 |          [1215-1436] |                |
| 135535 |          245 |         301.113 |      [1-42] [75-167] |        241.331 |
|        |              |                 |            [169-231] |                |
| 135573 |          162 |          74.603 |  [128-154] [102-110] |         30.910 |
|        |              |                 |  [113-118] [120-127] |                |
| 135575 |         1374 |        1406.836 |    [2-210] [213-241] |       1344.953 |
|        |              |                 |  [243-264] [266-381] |                |
|        |              |                 | [384-638] [645-1161] |                |
|        |              |                 |          [1163-1253] |                |
| 135735 |          982 |         277.400 |     [31-42] [44-149] |        262.342 |
|        |              |                 |  [151-234] [236-319] |                |
| 136066 |         1241 |        1043.306 |  [181-297] [299-319] |        998.099 |
|        |              |                 |  [321-321] [323-336] |                |
