 0 jets bin data
 		 mumu 		 mue 		 emu 		 ee 		 ll
120		2.2 +/- 1.1		3.6 +/- 1.5		7.5 +/- 3.2		1.6 +/- 0.75		15 +/- 3.8
130		2.3 +/- 1.3		4.4 +/- 1.8		8.8 +/- 3.7		2.4 +/- 1		18 +/- 4.4
140		2.3 +/- 1.3		3.4 +/- 1.4		6.8 +/- 2.8		2.8 +/- 1.2		15 +/- 3.7
150		0.23 +/- 0.55		1.7 +/- 0.88		3.3 +/- 1.5		1.3 +/- 0.66		6.4 +/- 2
160		0.012 +/- 0.41		0.73 +/- 0.63		2 +/- 1.1		0.25 +/- 0.33		3 +/- 1.4
170		0.12 +/- 0.41		0.56 +/- 0.59		2 +/- 1.1		0.24 +/- 0.24		2.5 +/- 1.3
180		0.12 +/- 0.41		0.4 +/- 0.57		1.1 +/- 0.74		0.24 +/- 0.24		1.5 +/- 1
190		0.34 +/- 0.54		0.45 +/- 0.59		1.9 +/- 0.9		0.31 +/- 0.31		2.5 +/- 1.2
200		0.75 +/- 0.69		0.037 +/- 0.55		2.3 +/- 1.1		0.24 +/- 0.34		3.3 +/- 1.4
250		0.79 +/- 0.66		0.96 +/- 0.66		3.2 +/- 1.4		1.7 +/- 0.77		6.7 +/- 1.9
300		0.23 +/- 0.23		0.38 +/- 0.39		4.2 +/- 1.7		2 +/- 0.9		6.5 +/- 2
350		0.29 +/- 0.42		0.13 +/- 0.34		4 +/- 1.7		2.1 +/- 0.92		6.5 +/- 2
400		0.38 +/- 0.43		0.28 +/- 0.28		3.3 +/- 1.4		1.9 +/- 0.83		5.5 +/- 1.7
450		0.49 +/- 0.44		0.17 +/- 0.17		1.8 +/- 0.77		1.3 +/- 0.61		3.3 +/- 1.1
500		0.26 +/- 0.35		0.098 +/- 0.14		1.5 +/- 0.68		1.3 +/- 0.6		3.2 +/- 0.98
550		0.27 +/- 0.35		0.13 +/- 0.14		1.3 +/- 0.59		1 +/- 0.52		2.7 +/- 0.87
600		0.28 +/- 0.35		0.081 +/- 0.11		0.87 +/- 0.44		0.77 +/- 0.41		2 +/- 0.71
