zero jets bin data
	 mumu 	 mue 	 emu 	 ee 	 ll
110 	14.7 +/- 1.34 	18.7 +/- 1.71 	22.6 +/- 2.07 	7.13 +/- 0.652 	63.2 +/- 3.07
115 	14.7 +/- 1.34 	18.7 +/- 1.71 	22.6 +/- 2.07 	7.13 +/- 0.652 	63.2 +/- 3.07
120 	22.6 +/- 2.07 	28.8 +/- 2.63 	32.8 +/- 3 	12 +/- 1.1 	96.2 +/- 4.63
130 	34.1 +/- 3.12 	38.7 +/- 3.54 	44.2 +/- 4.05 	18.7 +/- 1.71 	136 +/- 6.44
140 	38.9 +/- 3.56 	39.4 +/- 3.6 	43 +/- 3.94 	21.4 +/- 1.96 	143 +/- 6.7
150 	31.3 +/- 2.87 	30.5 +/- 2.79 	31 +/- 2.83 	17.7 +/- 1.62 	111 +/- 5.16
160 	21.5 +/- 1.96 	20.2 +/- 1.85 	20.8 +/- 1.9 	12.5 +/- 1.14 	75 +/- 3.49
170 	17.8 +/- 1.63 	15.4 +/- 1.41 	15.8 +/- 1.44 	10.2 +/- 0.931 	59.2 +/- 2.76
180 	21.3 +/- 1.95 	17.1 +/- 1.56 	18.9 +/- 1.73 	12.2 +/- 1.11 	69.5 +/- 3.24
190 	32 +/- 2.92 	29.3 +/- 2.68 	30 +/- 2.74 	19.1 +/- 1.75 	110 +/- 5.13
200 	31.6 +/- 2.89 	32.2 +/- 2.95 	33.3 +/- 3.04 	18.3 +/- 1.67 	115 +/- 5.4
250 	25.6 +/- 2.34 	32.5 +/- 2.97 	36.3 +/- 3.32 	16.5 +/- 1.51 	111 +/- 5.25
300 	22.4 +/- 2.05 	26.6 +/- 2.43 	29.8 +/- 2.73 	16.4 +/- 1.5 	95.3 +/- 4.45
350 	20.4 +/- 1.86 	21.8 +/- 1.99 	24.7 +/- 2.26 	14.5 +/- 1.33 	81.4 +/- 3.78
400 	16.5 +/- 1.51 	17.2 +/- 1.57 	19.9 +/- 1.82 	11.2 +/- 1.02 	64.8 +/- 3.02
450 	9 +/- 0.823 	10.1 +/- 0.923 	11.9 +/- 1.08 	6.15 +/- 0.562 	37.1 +/- 1.74
500 	6.6 +/- 0.603 	7.76 +/- 0.71 	8.94 +/- 0.818 	4.16 +/- 0.38 	27.5 +/- 1.3
550 	4.73 +/- 0.433 	5.61 +/- 0.513 	7.42 +/- 0.678 	3.18 +/- 0.29 	20.9 +/- 0.998
600 	3.56 +/- 0.325 	4.54 +/- 0.415 	6.2 +/- 0.567 	2.41 +/- 0.22 	16.7 +/- 0.805
