one jet bin data
	 mumu 	 mue 	 emu 	 ee
110 	3.15 +/- 0.752 	5.28 +/- 1.26 	7.07 +/- 1.69 	1.94 +/- 0.464 	17.4 +/- 2.29
115 	3.15 +/- 0.752 	5.28 +/- 1.26 	7.07 +/- 1.69 	1.94 +/- 0.464 	17.4 +/- 2.29
120 	4.98 +/- 1.19 	7.66 +/- 1.83 	9.88 +/- 2.36 	2.97 +/- 0.71 	25.5 +/- 3.3
130 	7.66 +/- 1.83 	10.5 +/- 2.52 	13.6 +/- 3.25 	4.46 +/- 1.07 	36.3 +/- 4.63
140 	9.43 +/- 2.26 	10.9 +/- 2.61 	13.5 +/- 3.22 	5.17 +/- 1.24 	39 +/- 4.88
150 	9.45 +/- 2.26 	11 +/- 2.62 	11.7 +/- 2.81 	5.18 +/- 1.24 	37.3 +/- 4.62
160 	8.08 +/- 1.93 	9.07 +/- 2.17 	9.38 +/- 2.24 	4.43 +/- 1.06 	31 +/- 3.82
170 	7.18 +/- 1.72 	6.99 +/- 1.67 	7.01 +/- 1.68 	3.75 +/- 0.896 	24.9 +/- 3.06
180 	8.59 +/- 2.06 	7.59 +/- 1.82 	8.43 +/- 2.02 	5.02 +/- 1.2 	29.6 +/- 3.61
190 	12.8 +/- 3.07 	13.1 +/- 3.13 	14.5 +/- 3.46 	8.41 +/- 2.01 	48.8 +/- 5.94
200 	13.1 +/- 3.13 	15.6 +/- 3.73 	16.8 +/- 4.02 	8.85 +/- 2.12 	54.4 +/- 6.66
250 	14.6 +/- 3.48 	21.4 +/- 5.13 	21.6 +/- 5.16 	10.1 +/- 2.41 	67.6 +/- 8.42
300 	13.6 +/- 3.26 	21.1 +/- 5.05 	20.4 +/- 4.89 	9.57 +/- 2.29 	64.7 +/- 8.08
350 	12.8 +/- 3.05 	18.6 +/- 4.45 	19.3 +/- 4.61 	8.71 +/- 2.08 	59.3 +/- 7.39
400 	10.8 +/- 2.58 	15.6 +/- 3.73 	16.7 +/- 3.99 	7.05 +/- 1.69 	50.1 +/- 6.27
450 	7.13 +/- 1.7 	9.68 +/- 2.32 	11.2 +/- 2.68 	4.53 +/- 1.08 	32.6 +/- 4.08
500 	5.41 +/- 1.29 	7.78 +/- 1.86 	9.05 +/- 2.17 	4.04 +/- 0.966 	26.3 +/- 3.28
550 	4.44 +/- 1.06 	6.01 +/- 1.44 	7.67 +/- 1.83 	3.11 +/- 0.744 	21.2 +/- 2.67
600 	3.44 +/- 0.823 	4.73 +/- 1.13 	6.38 +/- 1.53 	2.33 +/- 0.558 	16.9 +/- 2.14
