zero jets bin MC
	 mumu 	 mue 	 emu 	 ee
110 	12.9 +/- 2.36 	16.5 +/- 2.63 	19.9 +/- 2.88 	6.28 +/- 1.68 	55.6 +/- 4.86
115 	12.9 +/- 2.36 	16.5 +/- 2.63 	19.9 +/- 2.88 	6.28 +/- 1.68 	55.6 +/- 4.86
120 	19.9 +/- 2.94 	25.4 +/- 3.25 	28.9 +/- 3.47 	10.6 +/- 2.17 	84.7 +/- 6
130 	30 +/- 3.6 	34.1 +/- 3.79 	39 +/- 4.03 	16.5 +/- 2.7 	120 +/- 7.13
140 	34.2 +/- 3.84 	34.7 +/- 3.81 	37.9 +/- 3.96 	18.9 +/- 2.88 	126 +/- 7.3
150 	27.6 +/- 3.42 	26.9 +/- 3.35 	27.3 +/- 3.36 	15.6 +/- 2.59 	97.3 +/- 6.4
160 	18.9 +/- 2.81 	17.8 +/- 2.72 	18.3 +/- 2.75 	11 +/- 2.16 	66 +/- 5.25
170 	15.7 +/- 2.56 	13.6 +/- 2.37 	13.9 +/- 2.39 	8.96 +/- 1.94 	52.1 +/- 4.65
180 	18.8 +/- 2.8 	15.1 +/- 2.5 	16.7 +/- 2.63 	10.7 +/- 2.1 	61.2 +/- 5.05
190 	28.2 +/- 3.41 	25.8 +/- 3.3 	26.4 +/- 3.28 	16.8 +/- 2.6 	97.1 +/- 6.33
200 	27.9 +/- 3.4 	28.4 +/- 3.46 	29.3 +/- 3.46 	16.1 +/- 2.54 	102 +/- 6.48
250 	22.5 +/- 3.08 	28.6 +/- 3.46 	31.9 +/- 3.61 	14.5 +/- 2.47 	97.6 +/- 6.37
300 	19.7 +/- 2.86 	23.4 +/- 3.09 	26.3 +/- 3.29 	14.5 +/- 2.48 	83.9 +/- 5.89
350 	17.9 +/- 2.71 	19.2 +/- 2.78 	21.8 +/- 2.99 	12.8 +/- 2.32 	71.7 +/- 5.42
400 	14.5 +/- 2.44 	15.1 +/- 2.45 	17.5 +/- 2.68 	9.86 +/- 2.02 	57 +/- 4.82
450 	7.93 +/- 1.79 	8.88 +/- 1.9 	10.4 +/- 2.07 	5.41 +/- 1.51 	32.7 +/- 3.66
500 	5.81 +/- 1.54 	6.84 +/- 1.66 	7.88 +/- 1.78 	3.66 +/- 1.23 	24.2 +/- 3.13
550 	4.17 +/- 1.3 	4.94 +/- 1.4 	6.53 +/- 1.65 	2.8 +/- 1.08 	18.4 +/- 2.74
600 	3.13 +/- 1.11 	4 +/- 1.26 	5.46 +/- 1.52 	2.12 +/- 0.933 	14.7 +/- 2.45
