one jet bin MC
	 mumu 	 mue 	 emu 	 ee
110 	2.73 +/- 1.09 	4.59 +/- 1.37 	6.14 +/- 1.6 	1.69 +/- 0.846 	15.1 +/- 2.52
115 	2.73 +/- 1.09 	4.59 +/- 1.37 	6.14 +/- 1.6 	1.69 +/- 0.846 	15.1 +/- 2.52
120 	4.32 +/- 1.35 	6.65 +/- 1.64 	8.58 +/- 1.89 	2.58 +/- 1.04 	22.1 +/- 3.03
130 	6.65 +/- 1.66 	9.16 +/- 1.93 	11.8 +/- 2.2 	3.88 +/- 1.27 	31.5 +/- 3.6
140 	8.18 +/- 1.85 	9.47 +/- 1.96 	11.7 +/- 2.17 	4.49 +/- 1.37 	33.8 +/- 3.72
150 	8.2 +/- 1.83 	9.52 +/- 1.97 	10.2 +/- 2.01 	4.49 +/- 1.36 	32.4 +/- 3.63
160 	7.01 +/- 1.71 	7.87 +/- 1.81 	8.14 +/- 1.79 	3.85 +/- 1.26 	26.9 +/- 3.32
170 	6.23 +/- 1.6 	6.07 +/- 1.58 	6.09 +/- 1.55 	3.25 +/- 1.15 	21.6 +/- 2.97
180 	7.46 +/- 1.73 	6.59 +/- 1.64 	7.32 +/- 1.68 	4.36 +/- 1.34 	25.7 +/- 3.21
190 	11.1 +/- 2.1 	11.4 +/- 2.14 	12.6 +/- 2.24 	7.3 +/- 1.7 	42.4 +/- 4.11
200 	11.4 +/- 2.12 	13.5 +/- 2.33 	14.6 +/- 2.4 	7.68 +/- 1.74 	47.2 +/- 4.33
250 	12.6 +/- 2.28 	18.6 +/- 2.74 	18.7 +/- 2.71 	8.75 +/- 1.91 	58.7 +/- 4.86
300 	11.8 +/- 2.22 	18.3 +/- 2.74 	17.7 +/- 2.67 	8.31 +/- 1.88 	56.2 +/- 4.8
350 	11.1 +/- 2.14 	16.1 +/- 2.58 	16.7 +/- 2.6 	7.56 +/- 1.8 	51.5 +/- 4.61
400 	9.38 +/- 1.97 	13.5 +/- 2.36 	14.5 +/- 2.43 	6.12 +/- 1.61 	43.5 +/- 4.24
450 	6.19 +/- 1.6 	8.41 +/- 1.84 	9.74 +/- 2.01 	3.93 +/- 1.29 	28.3 +/- 3.41
500 	4.7 +/- 1.38 	6.75 +/- 1.65 	7.86 +/- 1.79 	3.51 +/- 1.22 	22.8 +/- 3.05
550 	3.85 +/- 1.24 	5.22 +/- 1.43 	6.66 +/- 1.64 	2.7 +/- 1.06 	18.4 +/- 2.72
600 	2.99 +/- 1.09 	4.1 +/- 1.26 	5.54 +/- 1.5 	2.02 +/- 0.91 	14.7 +/- 2.42
