zero jets bin data
	 mumu 	 mue 	 emu 	 ee 	 ll
110 	22.7 +/- 2.08 	27.8 +/- 2.54 	33 +/- 3.01 	11.6 +/- 1.06 	95.1 +/- 4.58
115 	49.9 +/- 4.57 	56.1 +/- 5.13 	65.6 +/- 6 	26.7 +/- 2.44 	198 +/- 9.44
120 	61.2 +/- 5.6 	66.7 +/- 6.1 	76.7 +/- 7.01 	33.8 +/- 3.09 	238 +/- 11.3
130 	90.8 +/- 8.3 	97.6 +/- 8.92 	112 +/- 10.3 	50.5 +/- 4.62 	351 +/- 16.6
140 	109 +/- 10 	128 +/- 11.7 	148 +/- 13.5 	61 +/- 5.57 	446 +/- 21.2
150 	123 +/- 11.2 	155 +/- 14.2 	178 +/- 16.3 	69.4 +/- 6.34 	525 +/- 25.2
160 	132 +/- 12.1 	164 +/- 15 	190 +/- 17.4 	73.9 +/- 6.76 	560 +/- 26.8
170 	137 +/- 12.5 	170 +/- 15.5 	197 +/- 18 	76.6 +/- 7.01 	580 +/- 27.8
180 	145 +/- 13.2 	186 +/- 17 	216 +/- 19.8 	80.9 +/- 7.4 	628 +/- 30.2
190 	158 +/- 14.5 	201 +/- 18.4 	232 +/- 21.3 	89.7 +/- 8.2 	681 +/- 32.6
200 	169 +/- 15.5 	212 +/- 19.4 	245 +/- 22.4 	96.1 +/- 8.79 	722 +/- 34.5
250 	217 +/- 19.8 	261 +/- 23.9 	303 +/- 27.7 	128 +/- 11.7 	908 +/- 43.2
300 	221 +/- 20.2 	267 +/- 24.4 	309 +/- 28.3 	130 +/- 11.9 	928 +/- 44.1
350 	223 +/- 20.4 	269 +/- 24.6 	313 +/- 28.6 	132 +/- 12 	937 +/- 44.6
400 	224 +/- 20.5 	271 +/- 24.8 	314 +/- 28.7 	132 +/- 12.1 	942 +/- 44.8
450 	225 +/- 20.6 	271 +/- 24.8 	315 +/- 28.8 	133 +/- 12.1 	944 +/- 44.9
500 	225 +/- 20.6 	272 +/- 24.8 	315 +/- 28.8 	133 +/- 12.2 	945 +/- 45
550 	225 +/- 20.6 	272 +/- 24.9 	316 +/- 28.9 	133 +/- 12.2 	946 +/- 45
600 	225 +/- 20.6 	272 +/- 24.9 	316 +/- 28.9 	133 +/- 12.2 	947 +/- 45
