one jet bin data
	 mumu 	 mue 	 emu 	 ee
110 	4.64 +/- 1.11 	8.13 +/- 1.95 	10.8 +/- 2.59 	2.84 +/- 0.68 	26.4 +/- 3.49
115 	10.5 +/- 2.51 	17.3 +/- 4.13 	21.6 +/- 5.16 	6.6 +/- 1.58 	56 +/- 7.25
120 	13.1 +/- 3.14 	19.7 +/- 4.71 	25 +/- 5.98 	8.3 +/- 1.99 	66.1 +/- 8.47
130 	21.8 +/- 5.2 	29.7 +/- 7.12 	37.5 +/- 8.97 	12.9 +/- 3.08 	102 +/- 13
140 	27.1 +/- 6.48 	40.1 +/- 9.58 	49.4 +/- 11.8 	16.7 +/- 3.98 	133 +/- 17
150 	32.4 +/- 7.76 	50.4 +/- 12.1 	60.8 +/- 14.6 	19.6 +/- 4.68 	163 +/- 21
160 	36.2 +/- 8.66 	55 +/- 13.2 	65.9 +/- 15.8 	22.3 +/- 5.33 	179 +/- 22.9
170 	38.8 +/- 9.29 	58.1 +/- 13.9 	70.1 +/- 16.8 	23.9 +/- 5.71 	191 +/- 24.4
180 	42.3 +/- 10.1 	65.4 +/- 15.6 	78.1 +/- 18.7 	25.8 +/- 6.16 	212 +/- 27.1
190 	47.5 +/- 11.4 	72.2 +/- 17.3 	85.3 +/- 20.4 	29 +/- 6.94 	234 +/- 29.9
200 	52 +/- 12.4 	77.7 +/- 18.6 	90.8 +/- 21.7 	32 +/- 7.66 	253 +/- 32.1
250 	70.3 +/- 16.8 	101 +/- 24.1 	117 +/- 28 	43.9 +/- 10.5 	332 +/- 41.9
300 	73.1 +/- 17.5 	104 +/- 25 	121 +/- 29 	45.5 +/- 10.9 	344 +/- 43.4
350 	74.2 +/- 17.8 	106 +/- 25.3 	123 +/- 29.5 	46 +/- 11 	349 +/- 44.1
400 	74.7 +/- 17.9 	107 +/- 25.5 	124 +/- 29.7 	46.3 +/- 11.1 	352 +/- 44.5
450 	75 +/- 17.9 	107 +/- 25.6 	125 +/- 29.9 	46.6 +/- 11.1 	354 +/- 44.7
500 	75.3 +/- 18 	108 +/- 25.7 	126 +/- 30 	46.7 +/- 11.2 	355 +/- 44.9
550 	75.4 +/- 18 	108 +/- 25.8 	126 +/- 30.1 	46.7 +/- 11.2 	356 +/- 44.9
600 	75.5 +/- 18.1 	108 +/- 25.8 	126 +/- 30.1 	46.8 +/- 11.2 	356 +/- 45
