zero jets bin MC
	 mumu 	 mue 	 emu 	 ee
110 	20 +/- 2.95 	24.5 +/- 3.21 	29 +/- 3.48 	10.2 +/- 2.12 	83.8 +/- 5.97
115 	44 +/- 4.36 	49.4 +/- 4.58 	57.8 +/- 4.92 	23.5 +/- 3.2 	175 +/- 8.63
120 	53.9 +/- 4.82 	58.8 +/- 4.99 	67.5 +/- 5.31 	29.8 +/- 3.6 	210 +/- 9.45
130 	80 +/- 5.86 	85.9 +/- 6.04 	99 +/- 6.42 	44.4 +/- 4.38 	309 +/- 11.5
140 	96.3 +/- 6.41 	112 +/- 6.89 	130 +/- 7.36 	53.7 +/- 4.81 	393 +/- 12.9
150 	108 +/- 6.78 	136 +/- 7.58 	157 +/- 8.08 	61.1 +/- 5.11 	463 +/- 14
160 	116 +/- 7.02 	145 +/- 7.81 	168 +/- 8.34 	65.1 +/- 5.27 	494 +/- 14.4
170 	121 +/- 7.15 	150 +/- 7.94 	173 +/- 8.47 	67.5 +/- 5.35 	511 +/- 14.6
180 	127 +/- 7.35 	164 +/- 8.3 	190 +/- 8.88 	71.2 +/- 5.5 	553 +/- 15.2
190 	140 +/- 7.69 	177 +/- 8.62 	205 +/- 9.21 	79 +/- 5.79 	600 +/- 15.9
200 	149 +/- 7.95 	187 +/- 8.86 	216 +/- 9.45 	84.6 +/- 5.99 	636 +/- 16.3
250 	191 +/- 9.01 	230 +/- 9.81 	266 +/- 10.5 	112 +/- 6.9 	800 +/- 18.3
300 	195 +/- 9.1 	235 +/- 9.91 	272 +/- 10.6 	115 +/- 6.97 	817 +/- 18.5
350 	197 +/- 9.14 	237 +/- 9.96 	275 +/- 10.7 	116 +/- 7.01 	825 +/- 18.6
400 	198 +/- 9.16 	239 +/- 9.98 	277 +/- 10.7 	117 +/- 7.02 	830 +/- 18.6
450 	198 +/- 9.16 	239 +/- 9.99 	277 +/- 10.7 	117 +/- 7.03 	831 +/- 18.7
500 	198 +/- 9.17 	239 +/- 10 	278 +/- 10.7 	117 +/- 7.04 	832 +/- 18.7
550 	198 +/- 9.17 	239 +/- 10 	278 +/- 10.7 	117 +/- 7.04 	833 +/- 18.7
600 	198 +/- 9.18 	240 +/- 10 	278 +/- 10.7 	117 +/- 7.05 	834 +/- 18.7
