one jet bin MC
	 mumu 	 mue 	 emu 	 ee
110 	4.03 +/- 1.32 	7.06 +/- 1.72 	9.4 +/- 1.96 	2.47 +/- 1.01 	23 +/- 3.09
115 	9.12 +/- 1.97 	15 +/- 2.47 	18.7 +/- 2.77 	5.73 +/- 1.56 	48.6 +/- 4.48
120 	11.4 +/- 2.19 	17.1 +/- 2.62 	21.7 +/- 2.98 	7.21 +/- 1.74 	57.4 +/- 4.86
130 	18.9 +/- 2.81 	25.8 +/- 3.24 	32.6 +/- 3.62 	11.2 +/- 2.16 	88.5 +/- 6.01
140 	23.5 +/- 3.12 	34.8 +/- 3.74 	42.9 +/- 4.15 	14.5 +/- 2.43 	116 +/- 6.85
150 	28.1 +/- 3.4 	43.7 +/- 4.2 	52.8 +/- 4.59 	17 +/- 2.63 	142 +/- 7.56
160 	31.4 +/- 3.59 	47.8 +/- 4.4 	57.2 +/- 4.77 	19.4 +/- 2.81 	156 +/- 7.93
170 	33.7 +/- 3.71 	50.4 +/- 4.51 	60.9 +/- 4.93 	20.7 +/- 2.89 	166 +/- 8.17
180 	36.7 +/- 3.88 	56.7 +/- 4.78 	67.8 +/- 5.2 	22.4 +/- 3.01 	184 +/- 8.6
190 	41.3 +/- 4.11 	62.7 +/- 5.02 	74 +/- 5.43 	25.2 +/- 3.2 	203 +/- 9.04
200 	45.1 +/- 4.3 	67.5 +/- 5.21 	78.9 +/- 5.59 	27.8 +/- 3.37 	219 +/- 9.39
250 	61 +/- 5 	87.5 +/- 5.92 	102 +/- 6.36 	38.1 +/- 3.95 	288 +/- 10.8
300 	63.5 +/- 5.11 	90.6 +/- 6.03 	105 +/- 6.47 	39.5 +/- 4.02 	299 +/- 11
350 	64.4 +/- 5.15 	92 +/- 6.07 	107 +/- 6.52 	40 +/- 4.04 	303 +/- 11.1
400 	64.9 +/- 5.16 	92.6 +/- 6.09 	108 +/- 6.55 	40.2 +/- 4.05 	305 +/- 11.1
450 	65.1 +/- 5.18 	93 +/- 6.11 	109 +/- 6.57 	40.4 +/- 4.07 	307 +/- 11.1
500 	65.3 +/- 5.18 	93.4 +/- 6.12 	109 +/- 6.58 	40.5 +/- 4.07 	308 +/- 11.1
550 	65.5 +/- 5.19 	93.5 +/- 6.12 	109 +/- 6.59 	40.5 +/- 4.07 	309 +/- 11.2
600 	65.6 +/- 5.19 	93.6 +/- 6.13 	109 +/- 6.59 	40.6 +/- 4.07 	309 +/- 11.2
